,exchange,cal_date,is_open
148,SSE,20191010,1
149,SSE,20191011,1
150,SSE,20191012,0
151,SSE,20191013,0
152,SSE,20191014,1
153,SSE,20191015,1
154,SSE,20191016,1
155,SSE,20191017,1
156,SSE,20191018,1
157,SSE,20191019,0
158,SSE,20191020,0
159,SSE,20191021,1
160,SSE,20191022,1
161,SSE,20191023,1
162,SSE,20191024,1
163,SSE,20191025,1
164,SSE,20191026,0
165,SSE,20191027,0
166,SSE,20191028,1
167,SSE,20191029,1
168,SSE,20191030,1
169,SSE,20191031,1
170,SSE,20191101,1
171,SSE,20191102,0
172,SSE,20191103,0
173,SSE,20191104,1
174,SSE,20191105,1
175,SSE,20191106,1
176,SSE,20191107,1
177,SSE,20191108,1
178,SSE,20191109,0
179,SSE,20191110,0
180,SSE,20191111,1
181,SSE,20191112,1
182,SSE,20191113,1
183,SSE,20191114,1
184,SSE,20191115,1
185,SSE,20191116,0
186,SSE,20191117,0
187,SSE,20191118,1
188,SSE,20191119,1
189,SSE,20191120,1
190,SSE,20191121,1
191,SSE,20191122,1
192,SSE,20191123,0
193,SSE,20191124,0
194,SSE,20191125,1
195,SSE,20191126,1
196,SSE,20191127,1
197,SSE,20191128,1
198,SSE,20191129,1
199,SSE,20191130,0
200,SSE,20191201,0
201,SSE,20191202,1
202,SSE,20191203,1
203,SSE,20191204,1
204,SSE,20191205,1
205,SSE,20191206,1
206,SSE,20191207,0
207,SSE,20191208,0
208,SSE,20191209,1
209,SSE,20191210,1
210,SSE,20191211,1
211,SSE,20191212,1
212,SSE,20191213,1
213,SSE,20191214,0
214,SSE,20191215,0
215,SSE,20191216,1
216,SSE,20191217,1
217,SSE,20191218,1
218,SSE,20191219,1
219,SSE,20191220,1
220,SSE,20191221,0
221,SSE,20191222,0
222,SSE,20191223,1
223,SSE,20191224,1
224,SSE,20191225,1
225,SSE,20191226,1
226,SSE,20191227,1
227,SSE,20191228,0
228,SSE,20191229,0
229,SSE,20191230,1
230,SSE,20191231,1
231,SSE,20200101,0
232,SSE,20200102,1
233,SSE,20200103,1
234,SSE,20200104,0
235,SSE,20200105,0
236,SSE,20200106,1
237,SSE,20200107,1
238,SSE,20200108,1
239,SSE,20200109,1
240,SSE,20200110,1
241,SSE,20200111,0
242,SSE,20200112,0
243,SSE,20200113,1
244,SSE,20200114,1
245,SSE,20200115,1
246,SSE,20200116,1
247,SSE,20200117,1
248,SSE,20200118,0
249,SSE,20200119,0
250,SSE,20200120,1
251,SSE,20200121,1
252,SSE,20200122,1
253,SSE,20200123,1
254,SSE,20200124,0
255,SSE,20200125,0
256,SSE,20200126,0
257,SSE,20200127,0
258,SSE,20200128,0
259,SSE,20200129,0
260,SSE,20200130,0
261,SSE,20200131,0
262,SSE,20200201,0
263,SSE,20200202,0
264,SSE,20200203,1
265,SSE,20200204,1
266,SSE,20200205,1
267,SSE,20200206,1
268,SSE,20200207,1
269,SSE,20200208,0
270,SSE,20200209,0
271,SSE,20200210,1
272,SSE,20200211,1
273,SSE,20200212,1
274,SSE,20200213,1
275,SSE,20200214,1
276,SSE,20200215,0
277,SSE,20200216,0
278,SSE,20200217,1
279,SSE,20200218,1
280,SSE,20200219,1
281,SSE,20200220,1
282,SSE,20200221,1
283,SSE,20200222,0
284,SSE,20200223,0
285,SSE,20200224,1
286,SSE,20200225,1
287,SSE,20200226,1
288,SSE,20200227,1
289,SSE,20200228,1
290,SSE,20200229,0
291,SSE,20200301,0
292,SSE,20200302,1
293,SSE,20200303,1
294,SSE,20200304,1
295,SSE,20200305,1
296,SSE,20200306,1
297,SSE,20200307,0
298,SSE,20200308,0
299,SSE,20200309,1
300,SSE,20200310,1
301,SSE,20200311,1
302,SSE,20200312,1
303,SSE,20200313,1
304,SSE,20200314,0
305,SSE,20200315,0
306,SSE,20200316,1
307,SSE,20200317,1
308,SSE,20200318,1
309,SSE,20200319,1
310,SSE,20200320,1
311,SSE,20200321,0
312,SSE,20200322,0
313,SSE,20200323,1
314,SSE,20200324,1
315,SSE,20200325,1
316,SSE,20200326,1
317,SSE,20200327,1
318,SSE,20200328,0
319,SSE,20200329,0
320,SSE,20200330,1
321,SSE,20200331,1
322,SSE,20200401,1
323,SSE,20200402,1
324,SSE,20200403,1
325,SSE,20200404,0
326,SSE,20200405,0
327,SSE,20200406,0
328,SSE,20200407,1
329,SSE,20200408,1
330,SSE,20200409,1
331,SSE,20200410,1
332,SSE,20200411,0
333,SSE,20200412,0
334,SSE,20200413,1
335,SSE,20200414,1
336,SSE,20200415,1
337,SSE,20200416,1
338,SSE,20200417,1
339,SSE,20200418,0
340,SSE,20200419,0
341,SSE,20200420,1
342,SSE,20200421,1
343,SSE,20200422,1
344,SSE,20200423,1
345,SSE,20200424,1
346,SSE,20200425,0
347,SSE,20200426,0
348,SSE,20200427,1
349,SSE,20200428,1
350,SSE,20200429,1
351,SSE,20200430,1
352,SSE,20200501,0
353,SSE,20200502,0
354,SSE,20200503,0
355,SSE,20200504,0
356,SSE,20200505,0
357,SSE,20200506,1
358,SSE,20200507,1
359,SSE,20200508,1
360,SSE,20200509,0
361,SSE,20200510,0
362,SSE,20200511,1
363,SSE,20200512,1
364,SSE,20200513,1
365,SSE,20200514,1
366,SSE,20200515,1
367,SSE,20200516,0
